browser	Web browser
filemanager	File manager
formeditor	Declarative UI form editor
gitclient	Git repository client
helloworld	Minimal Orion example application
imageeditor	Layered image editor
orionc	Orion declarative resource compiler
penciltest	Black-and-white image editor variant
scener	XML room and scene editor and renderer
shell	Orion desktop shell	filemanager terminal
socialfeed	Database-backed social feed example
taskmanager	Process and task manager
terminal	Terminal emulator
vibeoffice	Pixel-art office simulation
